,open,close,high,low,volume,rangePips,candleColor,date,time,symbol,timeFrame
1738,1.25107,1.25124,1.2515,1.25089,8670.8496,6,g,2014-10-05,00:00:00,EURUSD,1D
1739,1.25126,1.26432,1.26749,1.25121,197765.75,162,g,2014-10-06,00:00:00,EURUSD,1D
1740,1.26431,1.26647,1.26833,1.25837,229270.25,99,g,2014-10-07,00:00:00,EURUSD,1D
1741,1.26648,1.27406,1.27548,1.26226,233426.9375,132,g,2014-10-08,00:00:00,EURUSD,1D
1742,1.27405,1.26881,1.27913,1.2664,227332.7031,127,r,2014-10-09,00:00:00,EURUSD,1D
1743,1.26882,1.26268,1.2716,1.26054,185574.7344,110,r,2014-10-10,00:00:00,EURUSD,1D
1744,1.26268,1.26268,1.26268,1.26268,0.0,0,e,2014-10-11,00:00:00,EURUSD,1D
1745,1.26311,1.26396,1.26474,1.26201,10161.29,27,g,2014-10-12,00:00:00,EURUSD,1D
1746,1.26397,1.27217,1.27679,1.26336,182377.1094,134,g,2014-10-13,00:00:00,EURUSD,1D
1747,1.27216,1.26412,1.27314,1.26315,205727.0,99,r,2014-10-14,00:00:00,EURUSD,1D
1748,1.26412,1.28202,1.28865,1.26247,294121.125,261,g,2014-10-15,00:00:00,EURUSD,1D
1749,1.28202,1.28042,1.28449,1.27057,256551.8438,139,r,2014-10-16,00:00:00,EURUSD,1D
1750,1.28043,1.27589,1.28369,1.27436,163050.9219,93,r,2014-10-17,00:00:00,EURUSD,1D
1751,1.27589,1.27589,1.27589,1.27589,0.0,0,e,2014-10-18,00:00:00,EURUSD,1D
1752,1.27507,1.27473,1.27599,1.27364,11051.5303,23,r,2014-10-19,00:00:00,EURUSD,1D
1753,1.27473,1.27941,1.28168,1.27312,158130.9531,85,g,2014-10-20,00:00:00,EURUSD,1D
1754,1.27942,1.27136,1.28401,1.27064,194253.7813,133,r,2014-10-21,00:00:00,EURUSD,1D
1755,1.27136,1.26415,1.27396,1.26372,186794.8281,102,r,2014-10-22,00:00:00,EURUSD,1D
1756,1.26415,1.26492,1.26766,1.26137,175690.375,62,g,2014-10-23,00:00:00,EURUSD,1D
1757,1.26492,1.26688,1.26957,1.26349,156079.2656,60,g,2014-10-24,00:00:00,EURUSD,1D
1758,1.26688,1.26688,1.26688,1.26688,0.0,0,e,2014-10-25,00:00:00,EURUSD,1D
1759,1.26754,1.26758,1.26857,1.26719,9743.8398,13,g,2014-10-26,00:00:00,EURUSD,1D
1760,1.26759,1.27022,1.27231,1.26657,169084.9375,57,g,2014-10-27,00:00:00,EURUSD,1D
1761,1.27022,1.27369,1.27648,1.26845,176327.8125,80,g,2014-10-28,00:00:00,EURUSD,1D
1762,1.2737,1.26316,1.27705,1.26264,189783.1094,144,r,2014-10-29,00:00:00,EURUSD,1D
1763,1.26318,1.2609,1.26329,1.25474,223223.5938,85,r,2014-10-30,00:00:00,EURUSD,1D
1764,1.26088,1.2522,1.26089,1.2486,217950.2188,122,r,2014-10-31,00:00:00,EURUSD,1D
1765,1.2522,1.2522,1.2522,1.2522,0.0,0,e,2014-11-01,00:00:00,EURUSD,1D
1766,1.25067,1.25018,1.25138,1.25017,10622.7598,12,r,2014-11-02,00:00:00,EURUSD,1D
1767,1.25019,1.24921,1.25112,1.24396,209827.7969,71,r,2014-11-03,00:00:00,EURUSD,1D
1768,1.24921,1.25516,1.25773,1.24901,204778.8281,87,g,2014-11-04,00:00:00,EURUSD,1D
1769,1.25516,1.24775,1.25669,1.24572,222601.0313,109,r,2014-11-05,00:00:00,EURUSD,1D
